               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086666,            0.038503,                   0,             0.43345,             0.44731,             0.35508,            0.088907,            0.068358,            0.022316,                   0,           0.0032889,           0.0032889,              0.0704
                   1,            0.059479,            0.028668,                   0,             0.53325,             0.64113,             0.54843,             0.21721,            0.057292,            0.016001,                   0,           0.0065567,           0.0065567,            0.040334
                   2,            0.053881,            0.025171,                   0,             0.56727,             0.63033,             0.58558,             0.17081,            0.062011,            0.015456,                   0,           0.0097584,           0.0097584,            0.010203
                   3,            0.047448,            0.024701,                   0,             0.73168,             0.69839,             0.76891,             0.37572,            0.044345,            0.016738,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.042106,            0.024159,                   0,             0.78549,             0.77874,             0.81813,              0.4483,            0.041515,            0.015069,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.039907,            0.024072,                   0,             0.78792,             0.80099,             0.81797,             0.44543,            0.040883,            0.014479,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.036901,            0.023202,                   0,             0.80967,             0.78349,             0.82581,              0.4734,            0.038598,            0.014896,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.035729,            0.023123,                   0,             0.85582,             0.75896,             0.84245,             0.51092,            0.036915,            0.014749,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.035604,            0.023334,                   0,             0.81825,             0.76391,             0.82524,             0.48158,            0.037361,            0.014764,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.035139,            0.022665,                   0,             0.85074,             0.78245,             0.84527,             0.50366,            0.037195,            0.014606,                   0,            0.009208,            0.009208,            0.009208
                  10,              0.0342,             0.02268,                   0,             0.81018,             0.82303,             0.85275,             0.52438,            0.035539,            0.014279,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.033822,            0.022022,                   0,             0.81083,             0.80593,             0.84886,             0.50488,            0.036786,            0.014112,                   0,             0.00901,             0.00901,             0.00901
                  12,             0.03468,            0.022454,                   0,             0.87034,             0.74784,             0.84069,             0.51088,            0.036948,            0.014795,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.033614,            0.021913,                   0,             0.84552,             0.79834,             0.85475,              0.5064,            0.037119,             0.01421,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.031673,               0.021,                   0,             0.87169,             0.78938,             0.86584,             0.52547,            0.035757,            0.014067,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.032141,             0.02077,                   0,             0.84735,             0.80964,             0.86342,             0.52784,            0.036382,             0.01428,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.032273,             0.02062,                   0,             0.84681,             0.79975,             0.84842,             0.51917,            0.036164,            0.014851,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.031391,            0.020988,                   0,             0.87221,             0.77627,             0.86521,             0.53085,            0.034966,            0.014454,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.031376,            0.021477,                   0,             0.87651,             0.78083,             0.86054,              0.5284,            0.035654,            0.014377,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.030823,            0.021045,                   0,             0.86066,             0.77998,             0.85205,             0.52834,            0.035182,            0.014551,                   0,            0.008218,            0.008218,            0.008218
